eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/singles-supporting-singles/events/304671605/?recId=02d51eab-9a71-479f-a9d6-184b3d0b90eb&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/c/4/4/1/event_524810241.webp?w=640,Leisure Nature Social Walk (Gardens & Blythwood Ravine) (with Cozy Pub After),Singles Supporting Singles!,26.0,Saturday,2024-12-07,02:00 PM,EST,Inperson,10-50
https://www.meetup.com/hike-to-eat/events/304605641/?recId=a3abd9a5-1b06-4a8f-8603-ceec38a55904&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/7/3/c/event_524738716.webp?w=640,Westend Coffee Walk (8.4 km),Hike to Eat,78.0,Saturday,2024-12-07,10:00 AM,EST,Inperson,50-100
https://www.meetup.com/global-stoa/events/304591559/?recId=951375a1-9855-468c-9ebf-c2df1cb2e51a&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/4/0/e/5/event_524716613.webp?w=640,[NYC Stoics Reading Group] Demoralizing the Stoics,The Global Stoa,20.0,Saturday,2024-12-07,12:00 PM,EST,Inperson,10-50
https://www.meetup.com/saturday-night-dance-with-singles/events/304429664/?recId=ca0207f6-e21e-4cc7-b673-e4499d180105&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/9/e/3/event_524563491.webp?w=640,The Ultimate Mix & Mingle Pub Party! (Saturday December 7th),The Saturday Night Dance with Singles Social Club!,70.0,Saturday,2024-12-07,09:00 PM,EST,Online Event,50-100
https://www.meetup.com/swank-meetup-for-single-women-and-no-kids-in-toronto/events/304466583/?recId=ca0207f6-e21e-4cc7-b673-e4499d180105&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/8/d/a/event_524590458.webp?w=640,🇹🇷 Turkish dinner: Turquoise Grill House (vegetarian options!),SWaNK (Single Women and No Kids) Toronto,8.0,Saturday,2024-12-07,06:00 PM,EST,Inperson,1-10
https://www.meetup.com/washington-dc-area-cohousing/events/304447991/?recId=385bcd0c-58a9-4d06-89be-3063785c1d9f&recSource=ml-popular-events-nearby&searchId=8ac9277d-6670-4fb3-8544-a74bef439d41&eventOrigin=find_page$online,https://secure.meetupstatic.com/photos/event/1/3/8/3/event_524584995.webp?w=640,Tour Takoma Village Cohousing (DC) ...VIRTUALLY!,Washington DC Area Cohousing,15.0,Saturday,2024-12-07,02:00 PM,EST,Online Event,10-50
https://www.meetup.com/pub-night-social-club/events/304429704/?recId=bfa48b57-6121-46d2-87da-316ef414ffce&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/a/0/a/event_524563530.webp?w=640,The Ultimate Mix & Mingle Pub Party! (Saturday December 7th),The Ultimate Pub Night Social Club!,57.0,Saturday,2024-12-07,09:00 PM,EST,Inperson,50-100
https://www.meetup.com/dchistoryandculture/events/303589033/?recId=5f24a80b-f973-4272-8485-8a938f9ccca4&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/7/7/9/event_523658777.webp?w=640,Frank Sinatra's Birthday Celebration - Music History Livestream,"Washington, DC History & Culture",130.0,Saturday,2024-12-07,08:00 PM,EST,Inperson,100+
https://www.meetup.com/meetup-group-royotgxp/events/304345882/?recId=8a38e4da-f57b-400c-a94a-c1708afd33f3&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/b/1/6/event_524466934.webp?w=640,"Witching Hour: A Night of Music, Manifestation & Magic",Azaria’s Alchemy,6.0,Saturday,2024-12-07,10:00 PM,EST,Online Event,1-10
https://www.meetup.com/richmond-hill-friends/events/304514985/?recId=495ebc7a-711b-4b4e-8edd-91e6c640ed56&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/3/7/b/3/event_522374259.webp?w=640,Saturday Board Gaming Social!,Richmond Hill Friends,6.0,Saturday,2024-12-07,02:00 PM,EST,Online Event,1-10
